Id,SalePrice
1461,127496.28075985807
1462,154118.7506112268
1463,187345.49363099603
1464,186404.81241169115
1465,188451.8048366274
1466,176667.1461362818
1467,179357.5630652004
1468,168614.54359897773
1469,188743.64645302456
1470,125006.98538170934
1471,188845.96731677421
1472,93646.29542447769
1473,97356.33608495555
1474,154219.72044299074
1475,133030.82045663107
1476,375310.3808881937
1477,267422.5422488919
1478,285615.7894715405
1479,277628.79642403073
1480,484077.1786883266
1481,306762.0727908517
1482,198864.2685790665
1483,167300.68250750465
1484,159516.3065298537
1485,172653.58975598967
1486,191398.64279445674
1487,323398.2016521775
1488,240135.99158629062
1489,206829.04169826338
1490,218147.23204417384
1491,189271.9462436038
1492,96736.3262041338
1493,175606.5867312146
1494,307788.5783472284
1495,302088.24449215236
1496,233165.0018196304
1497,189068.1006907838
1498,159040.76156931013
1499,162235.58216119613
1500,148581.76886686392
1501,173315.66768424277
1502,151754.1652116811
1503,259065.28646647002
1504,239033.60003094384
1505,225074.51833483175
1506,164617.5463961885
1507,254670.1633500883
1508,194380.43525675105
1509,164229.62539793778
1510,145819.43595575503
1511,141844.23385525306
1512,160999.10776704244
1513,143379.03173787356
1514,158974.88066279996
1515,189339.69893388211
1516,167762.2029936162
1517,161189.31052168037
1518,133311.56233053195
1519,210935.00720589366
1520,137597.99963388115
1521,138119.49401251946
1522,167279.82287271545
1523,108518.22887766382
1524,121060.9386337456
1525,126498.64061558674
1526,124749.46985532499
1527,106459.48869243197
1528,124562.56828777093
1529,147150.7411294193
1530,186096.9041961531
1531,105028.3089128916
1532,102579.64650334869
1533,137623.15935769092
1534,116575.61039059886
1535,160650.85212749374
1536,118111.1777755692
1537,67396.6930896637
1538,149407.53376447147
1539,181691.89668721342
1540,95919.17689789983
1541,151442.11415219435
1542,140314.53605953974
1543,214365.0980552857
1544,76202.33890499806
1545,103219.79699504579
1546,124304.40639642537
1547,143663.2915971514
1548,137702.50459671518
1549,113882.48604273885
1550,141037.3204138076
1551,108729.01533540431
1552,131008.0357487232
1553,153883.92082001796
1554,118051.50050427802
1555,162237.55531419363
1556,90924.03595556354
1557,116181.1807336471
1558,87954.81548190764
1559,70773.83990605667
1560,135770.30823297062
1561,123725.99238669155
1562,130224.4871016496
1563,121901.10215008065
1564,154639.1072275945
1565,157780.12739770487
1566,210001.63444066577
1567,77367.59144085475
1568,214164.4688223652
1569,133280.32729569005
1570,131663.91443818272
1571,137002.1443410078
1572,152142.06653721596
1573,260701.70374153435
1574,114469.02452813496
1575,206418.4965357553
1576,230207.57634284906
1577,199207.33276253185
1578,158635.89047785228
1579,140269.840070063
1580,194752.32790666335
1581,141615.9160141004
1582,130968.76398771029
